id,value
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group1,0
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
group2,2
