id,value
group1,151.55807645404235
group1,147.52808087528666
group1,147.72269321873569
group1,145.5640288672806
group1,148.8460661382723
group1,152.31983128370013
group1,148.82201439906703
group1,153.5619404287334
group1,140.17940845228284
group1,144.82174394895708
group1,139.8612637570943
group1,145.92140877157993
group1,145.612442041564
group1,138.62815026268552
group1,145.4889780969321
group1,153.26866116357905
group1,142.15495728502574
group1,147.34151090926716
group1,153.889300655713
group1,150.16022722102284
group1,138.27336971296347
group1,154.10357932244418
group1,153.18923134254402
group1,137.1385681257898
group1,136.44569321467912
group1,141.5584980220341
group1,154.74647495555797
group1,144.2330511872071
group1,149.91772464770736
group1,142.95855156505226
group1,139.62584243314666
group1,139.73824787343727
group1,151.35262124890232
group1,148.08106899665304
group1,150.78157677899736
group1,143.81870629900394
group1,135.53365876246005
group1,152.17593443568865
group1,150.3636534639782
group1,141.90572029195118
group1,142.60827760511137
group1,139.78777001333776
group1,135.48252285727503
group1,143.91738651555193
group1,146.54768047392662
group1,140.44431589711462
group1,145.28356688730486
group1,149.75561385258672
group1,145.9367993094196
group1,152.1849002943495
group1,142.54555914007926
group1,150.77890026925695
group1,135.63261107348808
group1,142.6581034805627
group1,138.53164156141307
group1,151.91474934711061
group1,152.71552732588134
group1,149.05939282699924
group1,142.48212427525212
group1,154.67170887031565
group1,145.37263839059614
group1,141.80330095005084
group1,135.53492228050297
group1,146.33179902511108
group1,137.69251516538793
group1,151.0137629362402
group1,140.0642064008412
group1,138.26240934828616
group1,144.46119163597035
group1,151.99158277891098
group1,150.06913882789152
group1,144.10958980474203
group1,151.02496137297268
group1,135.93422776784007
group1,146.45044730492768
group1,149.40558901025003
group1,147.5202273859508
group1,147.97983628281608
group1,143.80665327416818
group1,153.4515142185477
group1,139.53910289814021
group1,153.8618878512293
group1,148.85739151452287
group1,149.92623562955143
group1,138.4628772944583
group1,136.55546004655886
group1,147.9624534967227
group1,137.955298542112
group1,139.62733140913988
group1,152.52332044857357
group1,141.52174461811254
group1,135.50810244419597
group1,139.07566576947988
group1,137.22565352433037
group1,138.87175853533662
group1,150.84006817628097
group1,150.28863885456332
group1,136.16277127483613
group1,135.68867996600542
group1,135.133334756
group2,182.3091523252643
group2,174.2623902096971
group2,171.68219967410354
group2,182.8750555630869
group2,181.77218917318572
group2,174.69791289482706
group2,172.3661006512297
group2,176.18146047813786
group2,178.3147351214115
group2,177.77327825088827
group2,167.29496307057306
group2,166.5956957976529
group2,180.00015909293927
group2,184.04459268671303
group2,171.14602489827107
group2,166.3537151313881
group2,182.33150711928323
group2,173.49630101598257
group2,179.93991713486446
group2,170.94385842138996
group2,180.26890890344717
group2,167.40567485465405
group2,167.83172818697577
group2,182.77260406199002
group2,172.6937316042447
group2,171.54183402766364
group2,181.08837156618742
group2,178.18077595838108
group2,169.55562605939093
group2,172.38346648692325
group2,178.86498689946382
group2,169.65097767127585
group2,170.58101584166937
group2,180.80928629448601
group2,184.28188216482414
group2,179.27862942887114
group2,167.02025419102725
group2,175.95869825777962
group2,173.571144305846
group2,167.79560023224877
group2,167.85560137453263
group2,181.9407306850281
group2,165.7100893109486
group2,180.1209819005294
group2,173.7421909353326
group2,178.40898042035684
group2,181.9590828435403
group2,184.92382601140753
group2,181.01301418224264
group2,175.20698211917215
group2,170.84858864951144
group2,168.48309367665343
group2,179.93205464170248
group2,166.20406400486934
group2,173.78701499836598
group2,183.1310865905213
group2,166.30554352998925
group2,180.17525125922955
group2,167.39711049006016
group2,183.812427885375
group2,179.7855456503351
group2,172.41646411509677
group2,176.89660316157665
group2,165.41730368156033
group2,175.64427375123176
group2,173.8059543626418
group2,184.57554315136863
group2,180.24519753783113
group2,180.60044512963475
group2,179.54073645244014
group2,170.88734460830125
group2,175.80754967385644
group2,178.8079473202952
group2,177.38306742676548
group2,171.83082093828278
group2,171.66832929682667
group2,183.89645734616232
group2,181.05196961106944
group2,174.64661347000296
group2,179.2816804709503
group2,173.85754840819428
group2,184.95181974631348
group2,166.20242398322858
group2,168.7943170268898
group2,165.5676239974582
group2,181.22446700920494
group2,172.1881644011956
group2,166.51083185239287
group2,167.96834850394373
group2,179.47855334807113
group2,170.4371165671583
group2,166.3071493624394
group2,174.26431796380604
group2,172.95946447549366
group2,165.74827214676583
group2,165.86152580749626
group2,178.1545350392396
group2,182.04302116571662
group2,165.28002499766075
group2,181.136505823
