group,value
group1,1.5224689481640379
group1,1.4633194510222158
group1,4.28303428845903
group1,2.156317648325484
group1,2.9979450673253254
group1,2.012767452714302
group1,2.8832988954119587
group1,1.4801575714590367
group1,4.360137881352543
group1,3.353672067602399
group1,3.175797730379655
group1,3.4968821468167572
group1,2.4387200883948004
group1,2.5908917373530094
group1,0.8609042326885059
group1,1.2732086171803854
group1,0.621691317158751
group1,1.3267292976009082
group1,0.7288860104358781
group1,1.9791090585576572
group1,4.226945545689789
group1,3.8861509182550513
group1,2.177998631082571
group1,1.6503784361044365
group1,1.0119122261490419
group1,0.7542836847537253
group1,2.5442836519283145
group1,4.454537772774951
group1,3.820676213432389
group1,4.430467425321367
group1,2.857050842221039
group1,1.180964321901194
group1,3.7687630212112277
group1,2.7765447012115874
group1,3.491155400179524
group1,3.730340017323088
group1,2.1825340570461855
group1,3.1145541560279795
group1,3.847994962799902
group1,2.2710692375160457
group1,2.9426104585657207
group1,2.5541169238656067
group1,4.262817512981186
group1,1.3976397855764922
group1,0.9656598692856644
group1,1.322579808528197
group1,1.5995426275091407
group1,3.6978913366801027
group1,4.181706373429082
group1,1.263051300082457
group1,1.661119771285203
group1,0.62264361588855
group1,4.415023109531765
group1,2.1159920189016415
group1,3.9290652407225832
group1,3.5637154836760723
group1,4.2701909466075065
group1,4.008141172267521
group1,1.668240309688625
group1,2.97752057149695
group1,2.242888720872181
group1,2.0214359488935205
group1,2.513787217633887
group1,3.9115054092317134
group1,4.132961034769474
group1,1.4798322055031168
group1,3.4018031777150917
group1,2.2320063236696823
group1,3.1106550018269843
group1,1.583833461202071
group1,1.0274484616979982
group1,1.3003551746223625
group1,3.6415541686646793
group1,0.7096570012972876
group1,2.8925805101251445
group1,3.3746446336532223
group1,0.8306750107737226
group1,3.265743941936625
group1,3.3616861298406415
group1,1.026174384418567
group1,3.814583854806783
group1,1.50541468311271
group1,1.1593043956858695
group1,3.950550015113128
group1,0.5042597293552724
group1,1.893907434321255
group1,2.7816185289098097
group1,3.3688050852088063
group1,3.649423657387787
group1,0.9670861945852245
group1,2.4425232652220723
group1,3.4980660115652125
group1,1.5161641277950673
group1,2.3048440380325728
group1,0.6877410837514839
group1,4.2862839027666375
group1,1.671197258497513
group1,1.027332105690351
group1,0.9703424768298952
group1,3.33551126511
group2,7.1820487656148595
group2,7.227507863810249
group2,7.150274963508476
group2,7.62135544405372
group2,7.9931303970365475
group2,7.266564334940703
group2,7.4936087018584985
group2,7.913437096755092
group2,7.732333333327672
group2,7.691720290772987
group2,7.762230770490156
group2,7.02103101827066
group2,7.497910433824706
group2,7.90809211946596
group2,7.853998200683075
group2,7.786072739722444
group2,7.037933372162134
group2,7.121991170186069
group2,7.764472355731544
group2,7.362175284841441
group2,7.505772813876301
group2,7.388903212314681
group2,7.776239686533513
group2,7.229939657187923
group2,7.9084562517216295
group2,7.457520307621747
group2,7.312139469595919
group2,7.60701754951544
group2,7.218377315325543
group2,7.925616930950188
group2,7.66512672580285
group2,7.275039526318418
group2,7.501554700282297
group2,7.35957076499548
group2,7.671927001043712
group2,7.729442167291562
group2,7.71450588874896
group2,7.718453255620524
group2,7.4260381964204685
group2,7.134702937078299
group2,7.925049316465932
group2,7.10738376411238
group2,7.228587242709208
group2,7.633994299363755
group2,7.503961188270538
group2,7.627635124196772
group2,7.892391132894462
group2,7.02355926553457
group2,7.585047163796149
group2,7.631726866552143
group2,7.144404826781852
group2,7.120331117657671
group2,7.900435872302832
group2,7.306168007440949
group2,7.583144600899864
group2,7.386301342688304
group2,7.227514634339037
group2,7.22995906439255
group2,7.411897898440856
group2,7.3864335680531
group2,7.134561603653285
group2,7.8092005806825115
group2,7.315282208135793
group2,7.086402847755005
group2,7.926121385059439
group2,7.536097178097142
group2,7.472976813609538
group2,7.074256602265461
group2,7.990268766566373
group2,7.793793043040939
group2,7.319084783077057
group2,7.284762514525946
group2,7.3243737266952476
group2,7.247987337105209
group2,7.633852239805143
group2,7.828378145627149
group2,7.019942568447105
group2,7.556797157064599
group2,7.51547149937607
group2,7.80304729668114
group2,7.045989641211072
group2,7.277400651257411
group2,7.333747662577412
group2,7.587000513479704
group2,7.803510570507176
group2,7.303797355418281
group2,7.80405083347984
group2,7.453679573263102
group2,7.987623891790437
group2,7.20805335490386
group2,7.254383941887655
group2,7.936455630472903
group2,7.552115546042432
group2,7.14688115143671
group2,7.8756223756538155
group2,7.7568173495648445
group2,7.806721040821604
group2,7.098142923017243
group2,7.3398250680187616
group2,7.98536331573
