train_err,test_err,adv_err
0.891660,0.872900,0.900700
0.891900,0.900000,0.900000
0.883980,0.835300,0.888700
0.856780,0.867900,0.902200
0.813020,0.897100,0.903900
0.776940,0.690600,0.847500
0.703360,0.697200,0.901700
0.661420,0.577700,0.893400
0.629760,0.569200,0.908000
0.597300,0.506500,0.851500
0.568220,0.478300,0.849100
0.543560,0.455700,0.864300
0.514280,0.436200,0.885500
0.472540,0.398600,0.889200
0.464460,0.411000,0.860300
0.435200,0.373300,0.880600
0.423100,0.377500,0.865400
0.394220,0.354400,0.872300
0.367820,0.364600,0.892400
0.360420,0.334800,0.882400
0.315600,0.348800,0.886200
0.293380,0.365400,0.885000
0.290080,0.333400,0.878400
0.253440,0.328300,0.876100
0.240940,0.323400,0.867500
0.242320,0.329400,0.874700
0.233120,0.310200,0.887500
0.201820,0.316500,0.889400
0.182300,0.320800,0.876100
0.170960,0.323800,0.875700
0.162540,0.319500,0.886500
0.169700,0.318100,0.878500
0.168140,0.358300,0.871700
0.176200,0.324600,0.861900
0.151040,0.323400,0.864100
0.146060,0.347400,0.883700
0.157460,0.317600,0.861100
0.135980,0.313400,0.861900
0.141020,0.322100,0.860500
0.135200,0.334700,0.858500
0.147280,0.323500,0.863800
0.140460,0.346900,0.878300
0.134020,0.317800,0.858700
0.127340,0.334000,0.860400
0.138220,0.327300,0.851900
0.111220,0.323500,0.848200
0.130360,0.344400,0.854800
0.118020,0.330900,0.853000
0.122000,0.336900,0.858900
0.123800,0.343900,0.855700
