train_err,test_err,adv_err
0.875720,0.830300,0.860000
0.835620,0.752900,0.817500
0.814960,0.727200,0.804400
0.798880,0.695800,0.790000
0.792400,0.685100,0.776000
0.787680,0.688900,0.792300
0.781900,0.666500,0.777400
0.776440,0.660100,0.767400
0.772660,0.649100,0.768300
0.770180,0.643800,0.774200
0.764660,0.623300,0.750300
0.760100,0.623300,0.752000
0.756920,0.607300,0.746100
0.753160,0.596000,0.750100
0.748000,0.608900,0.745600
0.742800,0.600300,0.742500
0.743680,0.578400,0.737300
0.736600,0.589700,0.745200
0.733060,0.576800,0.735300
0.731740,0.578000,0.740800
0.727280,0.565700,0.741700
0.723300,0.546400,0.732300
0.721460,0.572400,0.730500
0.716460,0.545100,0.726400
0.714760,0.549600,0.730100
0.712820,0.544700,0.735000
0.707500,0.544100,0.731600
0.705540,0.530600,0.729400
0.701660,0.557400,0.735900
0.699120,0.534700,0.726600
0.693440,0.548400,0.733700
0.690660,0.540400,0.733200
0.687660,0.538800,0.727500
0.684440,0.551900,0.733100
0.681020,0.522200,0.726900
0.675860,0.512300,0.730300
0.673320,0.506100,0.731900
0.669140,0.511200,0.733000
0.664660,0.521500,0.721800
0.661960,0.501900,0.736900
0.658560,0.505400,0.736900
0.651660,0.519000,0.727800
0.649660,0.501700,0.733600
0.644900,0.502500,0.731900
0.639280,0.501300,0.740300
0.635000,0.501300,0.733500
0.631620,0.495600,0.732700
0.626600,0.491700,0.738600
0.621380,0.496300,0.733100
0.619380,0.494600,0.738200
