train_err,test_err,adv_err
0.903420,0.900000,0.900000
0.894160,0.837400,0.852600
0.892960,0.899900,0.900000
0.875420,0.811900,0.842500
0.836680,0.753400,0.805500
0.827180,0.756300,0.818300
0.809380,0.714800,0.797100
0.794100,0.710300,0.786000
0.788840,0.687600,0.783600
0.783140,0.716800,0.794400
0.777680,0.671800,0.768700
0.770620,0.661400,0.761000
0.769440,0.653100,0.756300
0.762760,0.639600,0.757300
0.758040,0.634500,0.751900
0.752920,0.639700,0.748300
0.749980,0.607900,0.740700
0.744340,0.602200,0.745000
0.740280,0.596900,0.733600
0.734180,0.591200,0.732500
0.730640,0.573400,0.740800
0.725300,0.546700,0.735900
0.720660,0.578700,0.730400
0.714760,0.548900,0.723300
0.711060,0.544000,0.722700
0.705700,0.556500,0.726300
0.697880,0.538900,0.736500
0.693160,0.518300,0.723100
0.687600,0.539900,0.719200
0.681460,0.524100,0.715500
0.676240,0.531900,0.725000
0.670580,0.521000,0.728900
0.661180,0.524400,0.717400
0.655880,0.529200,0.736800
0.650320,0.499800,0.736600
0.647020,0.491300,0.729900
0.635400,0.495500,0.736500
0.628480,0.493700,0.742000
0.623360,0.508700,0.727800
0.611780,0.509400,0.737600
0.604160,0.501900,0.755500
0.594820,0.487500,0.749100
0.588020,0.477200,0.748800
0.581000,0.476500,0.744400
0.572540,0.477900,0.743000
0.559680,0.466400,0.759300
0.554520,0.473200,0.754700
0.540560,0.494100,0.760400
0.531280,0.475500,0.754000
0.525040,0.493400,0.756100
