train_err,test_err,adv_err
0.868317,0.837400,0.869500
0.841003,0.772300,0.824600
0.821820,0.766000,0.822700
0.803672,0.706300,0.792100
0.797816,0.695100,0.778300
0.793341,0.702800,0.800100
0.787343,0.683400,0.785300
0.784373,0.676500,0.787000
0.779874,0.681500,0.782500
0.775311,0.651900,0.769700
0.772304,0.645500,0.762700
0.767333,0.649100,0.764800
0.768209,0.632600,0.758100
0.759877,0.620500,0.754400
0.759203,0.628400,0.756400
0.757017,0.615100,0.752700
0.755062,0.597000,0.748700
0.750811,0.616700,0.755900
0.747070,0.605200,0.749500
0.744049,0.592500,0.741800
0.743317,0.588900,0.748000
0.739724,0.576800,0.732200
0.734510,0.588400,0.734800
0.734355,0.571400,0.734600
0.730305,0.556800,0.735700
0.727322,0.557800,0.732800
0.726482,0.566500,0.734300
0.723309,0.544500,0.738500
0.719880,0.568300,0.733300
0.716985,0.556100,0.726700
0.716448,0.559300,0.738400
0.709194,0.548800,0.730600
0.708834,0.558300,0.731300
0.706724,0.557400,0.724000
0.702675,0.542000,0.744900
0.700304,0.542200,0.728800
0.698473,0.525000,0.727300
0.694010,0.531000,0.726900
0.693971,0.552800,0.727800
0.690344,0.524900,0.730900
0.687332,0.515600,0.723600
0.685025,0.532200,0.733600
0.683301,0.524600,0.728000
0.677487,0.529000,0.742500
0.678422,0.502700,0.737500
0.673007,0.515100,0.728200
0.670407,0.512100,0.724300
0.665164,0.512900,0.733400
0.663844,0.517300,0.732300
0.659719,0.515900,0.735300
