train_err,test_err,adv_err
0.901702,0.900000,0.900000
0.902919,0.900000,0.900000
0.896733,0.884500,0.899600
0.861714,0.820200,0.848200
0.845766,0.800500,0.835100
0.838874,0.798200,0.841000
0.829379,0.744500,0.826300
0.821340,0.715200,0.801900
0.816782,0.715800,0.801100
0.810969,0.713000,0.801200
0.804631,0.697800,0.789200
0.797277,0.690900,0.782100
0.795950,0.696000,0.788900
0.791547,0.678100,0.784600
0.789787,0.693000,0.778100
0.792147,0.681200,0.782200
0.784175,0.676100,0.780000
0.787150,0.676700,0.776200
0.777671,0.665000,0.777300
0.776000,0.661600,0.770800
0.777500,0.654900,0.776800
0.774231,0.643400,0.760600
0.775810,0.643000,0.763700
0.768989,0.641400,0.761000
0.769899,0.646300,0.772200
0.767128,0.651900,0.766200
0.766319,0.612900,0.765600
0.762654,0.619600,0.751800
0.761579,0.623900,0.755300
0.764000,0.608100,0.757300
0.758293,0.643000,0.765400
0.759519,0.613500,0.745500
0.758627,0.621800,0.742800
0.752958,0.638200,0.763700
0.752562,0.604400,0.761100
0.754322,0.597300,0.752700
0.747747,0.581500,0.748100
0.743053,0.598000,0.754600
0.745410,0.593500,0.747800
0.747861,0.577200,0.745900
0.747903,0.611300,0.746500
0.737550,0.593200,0.734800
0.738889,0.594200,0.745100
0.737398,0.571200,0.748400
0.734127,0.598800,0.746400
0.737346,0.588800,0.738700
0.737626,0.578500,0.735700
0.728744,0.570400,0.735800
0.731192,0.573300,0.734100
0.735699,0.568900,0.743700
