train_err,test_err,adv_err
0.902500,0.894000,0.901900
0.879380,0.900000,0.900000
0.902100,0.900000,0.900000
0.904020,0.900000,0.900000
0.899960,0.900200,0.900400
0.900740,0.900000,0.900000
0.902400,0.900000,0.900000
0.900020,0.900000,0.900000
0.901400,0.900000,0.900000
0.902260,0.900000,0.900000
0.899880,0.900000,0.900000
0.900880,0.900000,0.900000
0.904000,0.900000,0.900000
0.900340,0.900000,0.900000
0.900760,0.900000,0.900000
0.886580,0.900000,0.900000
0.868320,0.900000,0.900000
0.866840,0.900000,0.900000
0.838080,0.761200,0.814900
0.802540,0.753700,0.812200
0.787480,0.728700,0.800200
0.776500,0.665900,0.786100
0.765500,0.684400,0.781100
0.761900,0.642200,0.757900
0.754160,0.624700,0.768400
0.747320,0.632800,0.774000
0.737400,0.585000,0.762600
0.728820,0.558900,0.758500
0.723040,0.566000,0.749100
0.715080,0.543500,0.750300
0.709180,0.574400,0.749200
0.696880,0.535100,0.741900
0.690200,0.545200,0.765000
0.686440,0.538900,0.724300
0.672860,0.502500,0.749000
0.673820,0.505800,0.736500
0.663560,0.507300,0.740100
0.660560,0.492400,0.744000
0.652680,0.513700,0.729800
0.645360,0.497700,0.748800
0.635920,0.490100,0.764700
0.625420,0.478400,0.744600
0.614720,0.443800,0.753500
0.619680,0.471100,0.739500
0.604620,0.455200,0.745700
0.597900,0.459400,0.742500
0.582640,0.438400,0.765900
0.579040,0.443600,0.763900
0.571700,0.462400,0.734200
0.558600,0.481600,0.767500
