train_err,test_err,adv_err
0.890440,0.900000,0.900000
0.882520,0.900000,0.900000
0.831180,0.841200,0.926400
0.750760,0.679400,0.983100
0.679600,0.640100,0.995800
0.609220,0.548700,0.995500
0.527440,0.448900,0.996700
0.442060,0.432100,0.994700
0.376500,0.346100,0.999600
0.320500,0.314100,0.999700
0.275820,0.287000,0.998900
0.239780,0.299800,0.999100
0.201460,0.280100,0.996300
0.174040,0.254600,0.985200
0.150280,0.247600,0.971600
0.127420,0.263100,0.955600
0.109640,0.231800,0.946800
0.092240,0.235000,0.919500
0.075480,0.242100,0.918800
0.064780,0.242900,0.923600
0.056820,0.243200,0.877300
0.045880,0.235500,0.862300
0.041060,0.249000,0.822700
0.036420,0.229800,0.811600
0.029940,0.229000,0.798000
0.028020,0.242800,0.833400
0.025700,0.226700,0.824800
0.021320,0.218000,0.769200
0.019120,0.229400,0.786700
0.018740,0.219600,0.734000
0.015720,0.225700,0.749200
0.013500,0.216100,0.695800
0.013320,0.219900,0.709900
0.011880,0.217900,0.686700
0.013380,0.227800,0.716200
0.009320,0.223200,0.688000
0.011460,0.213100,0.673600
0.011540,0.228400,0.691900
0.008040,0.216700,0.666100
0.011440,0.215500,0.702800
0.006420,0.215800,0.669200
0.009200,0.207500,0.656400
0.007340,0.223700,0.699900
0.006420,0.208000,0.643300
0.007300,0.213100,0.664400
0.005000,0.214800,0.640600
0.005980,0.211600,0.641300
0.007360,0.212900,0.636200
0.004560,0.206200,0.631600
0.004840,0.223700,0.663000
