train_err,test_err,adv_err
0.903860,0.900000,0.900000
0.891840,0.900000,0.900000
0.903660,0.900000,0.900000
0.901140,0.888400,0.891200
0.895040,0.893900,0.898600
0.895400,0.897900,0.899600
0.850920,0.863700,0.880000
0.897160,0.828400,0.865600
0.835980,0.844600,0.857300
0.820520,0.794300,0.828200
0.801520,0.751700,0.803300
0.790260,0.693600,0.778000
0.786620,0.688500,0.770100
0.779960,0.673200,0.771700
0.772020,0.675500,0.766400
0.769620,0.672900,0.764800
0.767260,0.636700,0.754900
0.762120,0.646100,0.759100
0.757400,0.632600,0.747000
0.750280,0.621200,0.747300
0.747100,0.605900,0.748700
0.740880,0.587200,0.738500
0.737700,0.607300,0.738400
0.732880,0.592400,0.724400
0.726080,0.577200,0.733500
0.723020,0.577100,0.731100
0.718560,0.572200,0.740400
0.714240,0.548500,0.740800
0.709140,0.571300,0.722400
0.702760,0.546600,0.722600
0.697540,0.554700,0.731800
0.692940,0.534800,0.734300
0.687340,0.549900,0.730400
0.681540,0.544100,0.725300
0.674020,0.525900,0.730700
0.671300,0.519300,0.727300
0.662580,0.515700,0.727200
0.655020,0.504300,0.740300
0.651320,0.525900,0.722300
0.642820,0.494600,0.732600
0.634220,0.512600,0.759300
0.626080,0.500700,0.735300
0.619280,0.485900,0.759800
0.611320,0.499000,0.737600
0.605100,0.508700,0.730700
0.593420,0.497400,0.748700
0.587900,0.491200,0.742600
0.577220,0.481600,0.768300
0.567740,0.498300,0.761500
0.562500,0.506100,0.745800
