train_err,test_err,adv_err
0.891740,0.845200,0.907100
0.840900,0.853700,0.970600
0.770560,0.787900,0.968000
0.684820,0.632500,0.986600
0.607000,0.582100,0.995800
0.532240,0.474900,0.997600
0.451360,0.395000,0.997800
0.382500,0.367600,0.998400
0.328140,0.325300,0.998600
0.281540,0.294000,0.999300
0.242060,0.286500,0.995100
0.207160,0.274400,0.998900
0.176620,0.253200,0.990300
0.150920,0.248800,0.978400
0.128440,0.263600,0.980000
0.108860,0.236300,0.935200
0.091960,0.235800,0.953000
0.078200,0.238900,0.920200
0.064960,0.240200,0.877700
0.056180,0.232900,0.885600
0.046300,0.225800,0.861300
0.037260,0.231000,0.834900
0.037800,0.234900,0.862500
0.030040,0.226700,0.812000
0.024660,0.235300,0.847500
0.023680,0.224200,0.786800
0.020220,0.238800,0.842500
0.020880,0.226000,0.781800
0.017560,0.220800,0.751300
0.016240,0.219500,0.754000
0.016700,0.221200,0.749900
0.012780,0.212500,0.716900
0.015860,0.215200,0.707100
0.010020,0.220500,0.753000
0.012320,0.226000,0.739000
0.010200,0.221400,0.726300
0.011400,0.216500,0.689100
0.008600,0.218600,0.740800
0.006100,0.215700,0.666300
0.007200,0.217100,0.711000
0.006360,0.215000,0.674800
0.008540,0.222000,0.677700
0.008580,0.223200,0.695400
0.005180,0.215500,0.654200
0.006160,0.213800,0.664400
0.004900,0.219900,0.672700
0.006520,0.217100,0.633200
0.008140,0.212200,0.664300
0.004300,0.211900,0.633100
0.004400,0.217500,0.629500
