0.283081,0.423500,0.914400
0.262678,0.424300,0.937500
0.228815,0.378100,0.945000
0.201654,0.363900,0.961000
0.176314,0.360100,0.958600
0.147426,0.352500,0.962000
0.128977,0.339700,0.968700
0.112295,0.341200,0.971100
0.097794,0.327300,0.954000
0.080149,0.362200,0.956800
0.070885,0.320400,0.935500
0.060709,0.328900,0.950700
0.051990,0.326800,0.944600
0.045470,0.333400,0.941200
0.039682,0.307900,0.926100
0.033181,0.310800,0.933000
0.032587,0.305800,0.936300
0.027792,0.319200,0.926600
0.026015,0.308500,0.913100
0.024377,0.311900,0.919200
0.022087,0.310100,0.907700
0.018175,0.303100,0.893700
0.018179,0.323100,0.894600
0.018881,0.309400,0.890300
0.017094,0.307300,0.901600
0.016788,0.307400,0.908600
0.014988,0.301600,0.895200
0.011859,0.296300,0.846500
0.010628,0.305200,0.892000
0.010988,0.308500,0.861100
0.010148,0.301700,0.874500
0.010733,0.306500,0.897500
0.010000,0.298200,0.861400
0.011204,0.297900,0.871900
0.010224,0.293600,0.870900
0.008139,0.301800,0.879700
0.007455,0.300500,0.871500
0.008900,0.291900,0.876500
0.009927,0.297800,0.857600
0.010194,0.291300,0.869900
0.006025,0.292800,0.882700
0.005924,0.287000,0.854700
0.006957,0.288900,0.843700
0.007494,0.302900,0.890100
0.006700,0.325400,0.892000
0.005586,0.285800,0.829800
0.003960,0.287200,0.865500
0.004623,0.299900,0.853400
0.005689,0.296300,0.852700
0.004598,0.290900,0.847800
