0.284600,0.430000,0.919500
0.251840,0.402700,0.939200
0.214100,0.381800,0.952400
0.181800,0.344400,0.959900
0.150760,0.364300,0.965300
0.122800,0.339200,0.965200
0.103600,0.334400,0.945900
0.084780,0.335000,0.955200
0.070280,0.314900,0.957000
0.060060,0.333100,0.948400
0.049060,0.310900,0.952400
0.042040,0.325100,0.940100
0.035780,0.314900,0.942700
0.032460,0.333300,0.916100
0.027300,0.316600,0.937000
0.022280,0.315400,0.939600
0.022620,0.304000,0.912800
0.017160,0.293200,0.910500
0.019820,0.303700,0.893300
0.019040,0.301300,0.910700
0.013660,0.302000,0.917300
0.015440,0.297700,0.890000
0.011560,0.303300,0.878900
0.011540,0.298100,0.855900
0.010740,0.293900,0.867400
0.012320,0.305900,0.885000
0.010480,0.303000,0.886500
0.009380,0.295600,0.873900
0.005480,0.314500,0.891600
0.007720,0.312000,0.881400
0.007940,0.302300,0.883100
0.008260,0.295200,0.870700
0.006800,0.302300,0.851400
0.004700,0.287000,0.848700
0.006640,0.297200,0.886700
0.006680,0.295200,0.846000
0.007380,0.285100,0.865000
0.006500,0.307100,0.845900
0.006620,0.290100,0.849100
0.005900,0.290300,0.872200
0.005020,0.284100,0.849200
0.006200,0.295200,0.833200
0.004500,0.297700,0.847700
0.004700,0.293700,0.851100
0.002500,0.300800,0.858600
0.005880,0.287800,0.818100
0.004160,0.303200,0.871800
0.003860,0.290900,0.861500
0.004140,0.293900,0.836200
0.003940,0.294500,0.831500
