train_err,test_err,adv_err
0.285714,0.511300,0.857300
0.277925,0.430200,0.895000
0.261226,0.422500,0.908800
0.268571,0.435500,0.920100
0.253636,0.419400,0.909500
0.240450,0.405200,0.919300
0.249423,0.400100,0.927400
0.228095,0.398400,0.922700
0.218544,0.397900,0.935400
0.222444,0.382300,0.938200
0.205214,0.380600,0.948600
0.206869,0.372200,0.959100
0.181647,0.373200,0.952200
0.188077,0.426200,0.956200
0.183516,0.364900,0.950400
0.177700,0.363300,0.954300
0.165612,0.369900,0.952400
0.164316,0.371600,0.956700
0.153776,0.386800,0.959900
0.148932,0.364300,0.958400
0.142991,0.358600,0.960500
0.138556,0.355900,0.965500
0.134878,0.361500,0.951300
0.133119,0.347700,0.963600
0.123820,0.343700,0.959400
0.116064,0.367900,0.946300
0.119636,0.354200,0.954900
0.110392,0.349300,0.960300
0.103564,0.386000,0.965800
0.101075,0.341400,0.955100
0.105400,0.342900,0.959200
0.095050,0.325800,0.954000
0.095800,0.343800,0.970600
0.088857,0.327900,0.956800
0.089588,0.322500,0.953000
0.082088,0.330200,0.951100
0.086957,0.336500,0.951000
0.078750,0.335400,0.942400
0.074216,0.322800,0.945900
0.067822,0.333200,0.952400
0.074375,0.334700,0.956900
0.067748,0.325200,0.939300
0.069252,0.349600,0.956900
0.059091,0.324000,0.926900
0.066373,0.330600,0.958800
0.062569,0.318800,0.949100
0.056173,0.329900,0.934600
0.061616,0.320100,0.944900
0.054592,0.315100,0.928600
0.052385,0.313300,0.934200
