train_err,test_err,adv_err
0.892290,0.875800,0.893800
0.854829,0.797300,0.839000
0.839489,0.753400,0.820800
0.820392,0.720500,0.813000
0.808822,0.717800,0.798600
0.799100,0.706000,0.804300
0.797902,0.695300,0.788400
0.791163,0.699400,0.783800
0.787993,0.689600,0.787100
0.785604,0.676100,0.782000
0.780301,0.680500,0.772100
0.776096,0.665600,0.769900
0.773017,0.659400,0.766700
0.773421,0.645700,0.770900
0.768944,0.647700,0.766200
0.767421,0.646000,0.759900
0.764032,0.635000,0.762400
0.766336,0.636500,0.773400
0.764441,0.621200,0.761200
0.756391,0.603900,0.750500
0.756815,0.614100,0.764600
0.754211,0.594800,0.744700
0.750000,0.608600,0.750800
0.747258,0.586000,0.742300
0.745036,0.594300,0.744100
0.743973,0.593500,0.748100
0.742785,0.585500,0.753200
0.742345,0.565500,0.738900
0.737357,0.583000,0.737200
0.735449,0.578900,0.741500
0.732867,0.586500,0.748600
0.730693,0.574200,0.737400
0.727752,0.581800,0.736100
0.724118,0.585600,0.731000
0.722852,0.571400,0.750100
0.723285,0.564400,0.730900
0.721126,0.550500,0.741900
0.717138,0.562500,0.737100
0.716885,0.561800,0.724500
0.711718,0.554600,0.732500
0.715251,0.560900,0.738100
0.711383,0.557200,0.737000
0.704667,0.552100,0.725500
0.704437,0.549600,0.747100
0.703483,0.523600,0.732800
0.702079,0.541400,0.729100
0.699113,0.533100,0.722800
0.700987,0.551500,0.733200
0.695449,0.529700,0.723800
0.692574,0.530800,0.737000
