train_err,test_err,adv_err
0.895620,0.900000,0.900000
0.888580,0.899700,0.900000
0.900900,0.900000,0.899900
0.901900,0.893500,0.903100
0.894720,0.900400,0.900400
0.900200,0.900000,0.900000
0.880800,0.779900,0.875000
0.865740,0.801000,0.861500
0.865780,0.785000,0.859200
0.817280,0.825900,0.859700
0.778580,0.686700,0.809800
0.745660,0.637000,0.815200
0.723680,0.603600,0.798600
0.694100,0.558600,0.815600
0.670500,0.587800,0.846600
0.659840,0.578900,0.800800
0.635220,0.516100,0.802400
0.622920,0.498600,0.784100
0.603140,0.486400,0.808800
0.587740,0.456400,0.807900
0.568200,0.437600,0.829100
0.560960,0.412200,0.838600
0.534280,0.444000,0.823900
0.539920,0.413800,0.818400
0.507300,0.402500,0.829700
0.506800,0.403500,0.805700
0.481340,0.377700,0.854300
0.461240,0.409800,0.822100
0.457700,0.376300,0.821100
0.441340,0.360300,0.846200
0.434300,0.409100,0.826700
0.408640,0.372200,0.830700
0.411300,0.357500,0.834900
0.361280,0.359700,0.834100
0.370920,0.365300,0.846200
0.353560,0.357600,0.841300
0.346200,0.363400,0.832800
0.339320,0.372700,0.817100
0.331840,0.371700,0.819200
0.297080,0.364100,0.860800
0.299460,0.376900,0.847600
0.299440,0.364700,0.847000
0.293180,0.372800,0.828400
0.271720,0.363800,0.843500
0.286920,0.353900,0.838700
0.246080,0.352700,0.848800
0.243920,0.365600,0.837200
0.241980,0.368400,0.844400
0.236760,0.371300,0.830200
0.238580,0.359500,0.844000
