Year,Name,Control,State,Region,Admission Rate,SAT Average,Average Cost of Attendance,Average Faculty Salary,Median Family Income,Undergrad Population,% Female,% White,% Black,% Hispanic,% Asian,% International Students,% Undergrad with Pell Grant,Completion Rate,% Undergrad 25 or Above,% First-Generation College Students,% Students whose Parents Have Postsecondary Education
2014-01-02,Alabama A & M University,Public,Alabama,Southeast,0.8989,823,18888,7079,21286,4051,0.5139,0.0279,0.9501,0.0089,0.0022,0.0002,0.7115,0.2914,0.1049,0.3873144399,0.6126855601
2014-01-02,University of Alabama at Birmingham,Public,Alabama,Southeast,0.8673,1146,19990,10170,35162.5,11200,0.5865,0.5987,0.259,0.0258,0.0518,0.014,0.3505,0.5377,0.2422,0.3362034441,0.6637965559
2014-01-02,University of Alabama in Huntsville,Public,Alabama,Southeast,0.8062,1180,20306,9341,33787,5525,0.442,0.7012,0.131,0.0338,0.0364,0.0329,0.3281,0.4835,0.264,0.3256361923,0.6743638077
2014-01-02,Alabama State University,Public,Alabama,Southeast,0.5125,830,17400,6557,20269,5354,0.5915,0.0161,0.9285,0.0114,0.0015,0.0207,0.8265,0.2517,0.127,0.3740061162,0.6259938838
2014-01-02,The University of Alabama,Public,Alabama,Southeast,0.5655,1171,26717,9605,62373.5,28692,0.5395,0.7865,0.114,0.0313,0.0112,0.0278,0.2107,0.6665,0.0853,0.2484235703,0.7515764297
2014-01-02,Auburn University at Montgomery,Public,Alabama,Southeast,0.8371,970,16556,7173,26010.5,4322,0.6194,0.5532,0.3031,0.0079,0.0245,0.0435,0.4006,0.2705,0.293,0.4029712163,0.5970287837
2014-01-02,Auburn University,Public,Alabama,Southeast,0.8274,1215,23788,9429,73020,19761,0.4893,0.8543,0.0714,0.0253,0.0213,0.0074,0.1687,0.6792,0.0415,0.1838645418,0.8161354582
2014-01-02,Birmingham Southern College,Private,Alabama,Southeast,0.6422,1177,44167,7513,71603,1181,0.4572,0.8103,0.094,0.0305,0.039,0,0.2124,0.6192,0.0152,0.1793103448,0.8206896552
2014-01-02,Herzing University-Birmingham,Private,Alabama,Southeast,0.7234,,26656,5645,16699,318,0.6918,0.3491,0.5881,0.0063,0.0094,0,0.6373,0.1778,0.7813,0.5157832917,0.4842167083
2014-01-02,Huntingdon College,Private,Alabama,Southeast,0.6279,999,31433,6027,40930,1100,0.5045,0.5845,0.1918,0.02,0.0091,0.0027,0.4302,0.4319,0.1937,0.3301500682,0.6698499318
2014-01-02,Jacksonville State University,Public,Alabama,Southeast,0.8326,1036,19202,6857,34573,7195,0.5829,0.6655,0.2628,0.0133,0.0053,0.0221,0.4613,0.3083,0.22,0.4015536301,0.5984463699
