County,Year,State,Region,Distance from Metro,Persistent Poverty,Access to Healthcare,% Obese,% Poor Health,Quality of Healthcare,Sexually Transmitted Infections,% Single-Parent Households,% Smokers,% Some College,% Uninsured,Violent Crime Rate
Autauga,2013-01-01,Alabama,South,In Metropolitan,No,37,34,23,68.5,363,26,24,54.4,14,300
Baldwin,2013-01-01,Alabama,South,In Metropolitan,No,74,26,13,69.9,306,28,23,62.1,19,215
Barbour,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,44,37,22,64.8,645,57,24,42.1,19,150
Bibb,2013-01-01,Alabama,South,In Metropolitan,No,26,34,21,57.2,327,38,33,42.4,18,246
Blount,2013-01-01,Alabama,South,In Metropolitan,No,21,32,22,66,113,26,22,43.3,19,102
Bullock,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,55,39,25,57,770,67,,39,16,386
Butler,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,33,41,20,59.9,645,51,29,47.3,17,370
Calhoun,2013-01-01,Alabama,South,In Metropolitan,No,62,34,24,60,566,40,26,49.2,16,725
Chambers,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,41,35,40,64.5,664,50,24,46.5,19,583
Cherokee,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,31,31,23,64.1,258,28,25,45.9,19,241
Chilton,2013-01-01,Alabama,South,In Metropolitan,No,18,35,21,62.1,197,30,21,43.7,20,876
Choctaw,2013-01-01,Alabama,South,Far from Metropolitan,Yes,36,38,33,66.9,433,46,19,41.4,18,117
Clarke,2013-01-01,Alabama,South,Far from Metropolitan,Yes,54,35,,62.2,763,50,20,51.1,17,491
Clay,2013-01-01,Alabama,South,Far from Metropolitan,No,36,34,24,58.2,395,30,21,41.4,19,225
Cleburne,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,13,30,19,50.3,220,30,18,43,18,293
Coffee,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,44,32,19,70.2,623,37,19,58.7,18,341
Colbert,2013-01-01,Alabama,South,In Metropolitan,No,61,33,24,65,498,33,30,55,15,439
Conecuh,2013-01-01,Alabama,South,Far from Metropolitan,Yes,38,33,20,58.2,605,53,19,31.5,19,377
Coosa,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,9,34,22,62.6,477,39,,32.3,17,230
Covington,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,63,36,23,66.2,471,39,31,44.8,18,293
Crenshaw,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,14,37,20,58.8,647,45,15,42.7,19,257
Cullman,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,57,32,22,71.2,214,24,25,49,19,187
Dale,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,28,36,24,68.1,444,30,24,62.3,15,391
Dallas,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,55,41,26,65.3,1264,59,21,44.2,16,750
DeKalb,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,31,34,21,61.3,179,31,17,39.4,24,126
Elmore,2013-01-01,Alabama,South,In Metropolitan,No,29,32,18,69,478,30,21,55,14,143
Escambia,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,55,36,26,61.8,446,50,21,43.7,20,516
Etowah,2013-01-01,Alabama,South,In Metropolitan,No,71,32,23,58.2,545,34,27,55.9,18,401
Fayette,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,41,37,31,63.1,302,34,17,39.6,17,134
Franklin,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,47,31,22,56.4,202,31,,42.4,23,241
Geneva,2013-01-01,Alabama,South,In Metropolitan,No,19,36,27,63.5,433,42,,51.5,20,323
Greene,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,33,48,20,50.6,1238,55,,36.4,18,1143
Hale,2013-01-01,Alabama,South,In Metropolitan,Yes,6,44,23,59.7,1326,52,,39.8,17,438
Henry,2013-01-01,Alabama,South,In Metropolitan,No,29,34,17,62.4,665,33,21,51.8,18,333
Houston,2013-01-01,Alabama,South,In Metropolitan,No,78,33,21,68.1,750,41,19,52.4,17,538
Jackson,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,51,31,27,55.9,154,26,27,47.4,19,243
Jefferson,2013-01-01,Alabama,South,In Metropolitan,No,97,32,17,69.4,800,42,21,64.7,16,727
Lamar,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,21,32,27,61.3,295,36,,41.9,17,56
Lauderdale,2013-01-01,Alabama,South,In Metropolitan,No,51,32,21,66.2,478,31,19,55.5,15,204
Lawrence,2013-01-01,Alabama,South,In Metropolitan,No,17,38,21,61.7,402,32,26,46.6,19,198
Lee,2013-01-01,Alabama,South,In Metropolitan,No,48,30,19,63.4,501,32,20,64.6,16,320
Limestone,2013-01-01,Alabama,South,In Metropolitan,No,25,31,20,69.7,268,27,22,53,17,118
Lowndes,2013-01-01,Alabama,South,In Metropolitan,Yes,9,45,33,63.9,903,56,22,42.2,17,527
Macon,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,23,41,25,59.7,1040,61,13,50.9,16,813
Madison,2013-01-01,Alabama,South,In Metropolitan,No,84,31,14,69.2,453,32,19,69,14,478
Marengo,2013-01-01,Alabama,South,Far from Metropolitan,Yes,33,40,24,51.6,666,40,15,50,17,513
Marion,2013-01-01,Alabama,South,Far from Metropolitan,No,68,33,22,59.6,150,31,,48.7,17,178
Marshall,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,56,29,21,60,188,32,30,43.2,22,285
Mobile,2013-01-01,Alabama,South,In Metropolitan,No,58,32,22,64.1,785,44,24,55.9,19,612
Monroe,2013-01-01,Alabama,South,Far from Metropolitan,Yes,35,36,24,65.4,663,51,21,37.7,18,534
Montgomery,2013-01-01,Alabama,South,In Metropolitan,No,84,34,20,67.8,1175,50,19,60.5,16,406
Morgan,2013-01-01,Alabama,South,In Metropolitan,No,56,33,14,68.5,433,31,25,55.2,19,250
Perry,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,38,40,27,56.8,954,59,20,40.4,17,622
Pickens,2013-01-01,Alabama,South,In Metropolitan,Yes,35,36,26,65,532,48,14,40.7,17,268
Pike,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,55,37,22,67.3,1021,45,19,56.3,18,357
Randolph,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,39,32,21,55.1,249,44,28,43.6,18,248
Russell,2013-01-01,Alabama,South,In Metropolitan,No,30,39,20,57.9,816,47,,53.3,17,451
St. Clair,2013-01-01,Alabama,South,In Metropolitan,No,24,36,19,65,,29,26,48.9,15,182
Shelby,2013-01-01,Alabama,South,In Metropolitan,No,85,28,13,75,191,19,19,74.1,12,156
Sumter,2013-01-01,Alabama,South,Adjacent to Metropolitan,Yes,44,42,25,67,1075,61,16,50.4,19,
Talladega,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,32,37,29,57.3,514,39,23,46.2,16,370
Tallapoosa,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,39,37,23,64.8,428,34,29,48.1,17,539
Tuscaloosa,2013-01-01,Alabama,South,In Metropolitan,No,69,35,17,72.8,620,37,22,61.2,18,447
Walker,2013-01-01,Alabama,South,In Metropolitan,No,48,35,33,63.3,388,29,28,50.8,17,212
Washington,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,17,36,22,61.9,438,29,20,41.3,19,354
Wilcox,2013-01-01,Alabama,South,Far from Metropolitan,Yes,43,43,29,47.9,1071,69,,34.4,18,193
Winston,2013-01-01,Alabama,South,Adjacent to Metropolitan,No,33,36,18,55,212,35,21,42.3,19,186
Aleutians East,2013-01-01,Alaska,West,Far from Metropolitan,No,,31,14,,287,40,,42.8,41,
Aleutians West,2013-01-01,Alaska,West,Far from Metropolitan,No,108,28,21,,144,32,29,53.5,31,332
Anchorage,2013-01-01,Alaska,West,In Metropolitan,No,92,26,13,57.2,908,30,17,70.3,18,887
Bethel,2013-01-01,Alaska,West,Far from Metropolitan,No,94,30,20,,2445,30,31,41.5,28,
Bristol Bay,2013-01-01,Alaska,West,Far from Metropolitan,No,0,35,14,,201,41,24,68.9,22,277
Denali,2013-01-01,Alaska,West,Adjacent to Metropolitan,No,0,28,7,,274,11,21,75.5,20,
Dillingham,2013-01-01,Alaska,West,Far from Metropolitan,No,246,34,12,58.3,1527,37,39,49.4,30,1875
Fairbanks North Star,2013-01-01,Alaska,West,In Metropolitan,No,71,28,11,58.5,823,30,21,67.4,20,
Haines,2013-01-01,Alaska,West,Far from Metropolitan,No,199,32,14,58.8,399,24,15,64.6,29,401
Juneau,2013-01-01,Alaska,West,Far from Metropolitan,No,121,26,11,68.8,563,36,19,74.2,19,426
Kenai Peninsula,2013-01-01,Alaska,West,Far from Metropolitan,No,81,29,14,58.3,338,29,22,60,24,
Ketchikan Gateway,2013-01-01,Alaska,West,Far from Metropolitan,No,103,32,14,61.5,861,31,24,63.6,23,385
Kodiak Island,2013-01-01,Alaska,West,Far from Metropolitan,No,132,30,12,50.7,383,31,19,68,28,
Lake and Peninsula,2013-01-01,Alaska,West,Far from Metropolitan,No,0,34,14,,613,31,,59.2,34,
Matanuska-Susitna,2013-01-01,Alaska,West,In Metropolitan,No,52,30,14,59.1,453,24,28,61.6,21,
Nome,2013-01-01,Alaska,West,Far from Metropolitan,No,104,36,17,55.8,2813,46,44,40.9,29,
North Slope,2013-01-01,Alaska,West,Far from Metropolitan,No,21,39,21,,1251,39,45,44.6,25,901
Northwest Arctic,2013-01-01,Alaska,West,Far from Metropolitan,No,53,30,19,,2738,42,48,36.5,29,
Sitka,2013-01-01,Alaska,West,Far from Metropolitan,No,213,30,13,57.1,563,35,21,74.5,26,240
Southeast Fairbanks,2013-01-01,Alaska,West,Far from Metropolitan,No,57,31,16,52.7,270,25,23,64.4,28,
Valdez-Cordova,2013-01-01,Alaska,West,Far from Metropolitan,No,72,29,16,62.7,457,34,25,71.5,25,570
Yakutat,2013-01-01,Alaska,West,Far from Metropolitan,No,0,31,14,,604,30,13,69.4,30,
Yukon-Koyukuk,2013-01-01,Alaska,West,Far from Metropolitan,Yes,18,33,18,41.9,1199,52,42,45.3,34,
Apache,2013-01-01,Arizona,West,Adjacent to Metropolitan,Yes,32,33,20,31.1,646,46,16,43.2,21,75
Cochise,2013-01-01,Arizona,West,In Metropolitan,No,39,24,18,61,299,33,21,62.2,17,564
Coconino,2013-01-01,Arizona,West,In Metropolitan,No,74,25,12,51.8,542,39,15,67.3,21,372
Gila,2013-01-01,Arizona,West,Adjacent to Metropolitan,No,73,26,23,65.9,235,42,26,40.4,20,488
Graham,2013-01-01,Arizona,West,Far from Metropolitan,No,48,33,21,55.2,344,38,15,51.6,19,1627
Greenlee,2013-01-01,Arizona,West,Far from Metropolitan,No,48,36,,49.3,190,35,,57.5,15,276
