id,name,step,ego
38259P,Google Inc,0,Google Inc
629050,NEC Corp,1,Google Inc
83510F,Socioware.com,2,Google Inc
865613,Sumitomo Corp,2,Google Inc
59487E,Microsoft Co Ltd,2,Google Inc
46662V,JCB Co Ltd,2,Google Inc
233806,Dai Nippon Printing Co Ltd,2,Google Inc
23408R,Daiwa Institute of Research,2,Google Inc
891493,Toshiba Corp,2,Google Inc
359590,Fujitsu Ltd,2,Google Inc
433578,Hitachi Ltd,2,Google Inc
606776,Mitsubishi Electric Corp,2,Google Inc
606769,Mitsubishi Corp,2,Google Inc
796054,Samsung SDI Co Ltd,2,Google Inc
879063,Teijin Ltd,2,Google Inc
890880,Toray Industries Inc,2,Google Inc
12416L,NTT Communications Corp,2,Google Inc
00313K,AT&T Global Services,2,Google Inc
65390Y,Nihon Unisys Ltd,2,Google Inc
88408K,THine Electronics Inc,2,Google Inc
576879,Matsushita Electric Industrial,2,Google Inc
819882,Sharp Corp,2,Google Inc
60888J,Monaco Telecom PLC,2,Google Inc
826197,Siemens AG,2,Google Inc
62942Q,NTT Data Corp,2,Google Inc
225223,Cray Inc,2,Google Inc
67455V,OCC Corp,2,Google Inc
37966Z,Global Marine Systems Ltd,2,Google Inc
885118,Thomson SA,2,Google Inc
450306,ISS Group Inc,2,Google Inc
65413N,Nifty Corp,1,Google Inc
16705T,Chi Mei Optoelectronics Corp,2,Google Inc
00175J,AMP Ltd,2,Google Inc
73089M,PointBase Inc,2,Google Inc
29388W,Entrust Japan Co Ltd,2,Google Inc
78540M,SGI Japan Ltd,2,Google Inc
J89322,Toppan Printing Co Ltd,2,Google Inc
57688F,Matsushita Commun Industrial,2,Google Inc
803038,Sanyo Electric Co Ltd,2,Google Inc
35958C,Fuji Xerox Co Ltd,2,Google Inc
92806C,Vitria Japan,2,Google Inc
47110H,Japan Telecom Co Ltd,2,Google Inc
63020H,NEC Soft Ltd,2,Google Inc
594918,Microsoft Corp,2,Google Inc
83178N,Smart Technologies Inc,2,Google Inc
69520N,PacketVideo Corp,2,Google Inc
65391B,Nihon Dempa Kogyo Co Ltd,2,Google Inc
44334L,Huawei Technologies Co Ltd,2,Google Inc
57687N,Matsushita Graphic Comm System,2,Google Inc
67420F,Obayashi Corp,2,Google Inc
15101Q,Celestica Inc,2,Google Inc
654624,NTT,2,Google Inc
35961Q,Fuji Television Network Inc,2,Google Inc
88910A,TBS,2,Google Inc
04340A,Asahi Broadcasting Corp,2,Google Inc
62869P,NTT East Corp,2,Google Inc
63020F,NTT West Corp,2,Google Inc
83096K,SKY Perfect Communications Inc,2,Google Inc
835699,Sony Corp,2,Google Inc
46114T,Interwoven Inc,2,Google Inc
86978N,SVA(Group)Co Ltd,2,Google Inc
82009J,SVA Electron Co Ltd,2,Google Inc
50313E,KDDI Corp,2,Google Inc
359556,Fuji Heavy Industries Ltd,2,Google Inc
438128,Honda Motor Co Ltd,2,Google Inc
57675L,Matsushita Electric Co,2,Google Inc
J65328,ROHM Co Ltd,2,Google Inc
678492,Oki Electric Industry Co Ltd,2,Google Inc
83567N,Sony Commun Network Corp,2,Google Inc
23127R,Curiocity Corp,2,Google Inc
458140,Intel Corp,2,Google Inc
64390Q,Elpida Memory Inc,2,Google Inc
68273P,Onkyo Corp,2,Google Inc
925843,JVC,2,Google Inc
36130K,Fusion Communications Corp,2,Google Inc
87656P,Tata Consultancy Services Ltd,2,Google Inc
22435R,Crane Telecommunications Grp,2,Google Inc
47126E,Japan Telecom Holdings Co Ltd,2,Google Inc
500472,Koninklijke Philips,2,Google Inc
238216,Daum Communications Corp,1,Google Inc
29329X,Eniro AB,1,Google Inc
834182,Solectron Corp,2,Google Inc
68383A,Opsware Inc,2,Google Inc
88100W,Terra Networks SA,1,Google Inc
80586W,Scala Inc,2,Google Inc
30663A,FSBM M2B Sdn Bhd,2,Google Inc
25405R,Digital China Holdings Ltd,2,Google Inc
594918,Microsoft Corp,1,Google Inc
279765,Edgar Online Inc,2,Google Inc
89443X,transcosmos inc,2,Google Inc
48203R,Juniper Networks Inc,2,Google Inc
87783A,TechFaith Holding Ltd,2,Google Inc
278856,Eclipsys Corp,2,Google Inc
94773T,webMethods KK,2,Google Inc
46301F,IDeaS,2,Google Inc
25393S,DigitalPersona Inc,2,Google Inc
988918,Zi Corp,2,Google Inc
280599,Edify Corp,2,Google Inc
29469R,Ericsson Technology Licensing,2,Google Inc
46492Q,iSOFT Group PLC,2,Google Inc
46612K,JDA Software Group Inc,2,Google Inc
879403,Telmex,2,Google Inc
98581R,Republic of Yemen,2,Google Inc
803054,SAP AG,2,Google Inc
552691,MCI Inc,2,Google Inc
074002,BearingPoint Inc,2,Google Inc
125891,CMP Media LLC,2,Google Inc
861012,STMicroelectronics NV,2,Google Inc
27887E,eCollege.com,2,Google Inc
428236,Hewlett Packard Co,2,Google Inc
64110W,163.com,1,Google Inc
73949Z,PoweredCom Inc,2,Google Inc
315621,Fiat SpA,2,Google Inc
73172K,Polycom Inc,2,Google Inc
51569P,Inspur Group Co Ltd,2,Google Inc
456788,Infosys Technologies Ltd,2,Google Inc
237545,Dassault Systemes SA,2,Google Inc
69858V,Panasonic Mobile Commun,2,Google Inc
J4881U,NEC Electronics Corp,2,Google Inc
052769,Autodesk Inc,2,Google Inc
82611M,Siemens Communication Group,2,Google Inc
Y8071D,Sonata Software Ltd,2,Google Inc
868763,SurfControl PLC,2,Google Inc
15161J,Celestix Networks Inc,2,Google Inc
12891Y,CJ Internet Corp,2,Google Inc
67438X,Oberon Media Inc,2,Google Inc
011612,Alanco Technologies Inc,2,Google Inc
45933A,INRIA,2,Google Inc
465754,i2 Technologies Inc,2,Google Inc
786578,Saflink Corp,2,Google Inc
65355F,NHN Corp,2,Google Inc
Y3121G,HCL Technologies Ltd,2,Google Inc
87132C,Sylantro Systems Corp,2,Google Inc
001957,AT&T Corp,2,Google Inc
02342T,Amdocs Ltd,2,Google Inc
620076,Motorola Solutions Inc,2,Google Inc
413160,Harmonic Inc,2,Google Inc
98263A,Wuhan Research Institute Post,2,Google Inc
07755R,Beijing Zhongguancun Software,2,Google Inc
91524N,Uniware Co Ltd,2,Google Inc
88693P,Tianjin Huayuan Software Park,2,Google Inc
742578,Printronix Inc,2,Google Inc
46338M,iUpload Inc,1,Google Inc
57383M,Marvel Enterprises Inc,2,Google Inc
65691T,99Bill Corp,2,Google Inc
53811R,LiveOffice LLC,1,Google Inc
808655,Scientific Atlanta Inc,2,Google Inc
68389X,Oracle Corp,2,Google Inc
78687Y,SWSoft Inc,2,Google Inc
909214,Unisys Corp,2,Google Inc
826565,Sigma Designs Inc,2,Google Inc
138006,Canon Inc,2,Google Inc
91221Y,UGS Corp,2,Google Inc
749121,Qwest Commun Intl Inc,2,Google Inc
749719,RSA Security Inc,2,Google Inc
866810,Sun Microsystems Inc,2,Google Inc
22277M,Courion Corp,2,Google Inc
80286W,M-Tech Information Technology,2,Google Inc
98549Y,XCome Technology Co Ltd,2,Google Inc
90017X,Turkticaret,1,Google Inc
86317Q,Stratus Technologies Inc,2,Google Inc
008190,Affiliated Computer Svcs Inc,2,Google Inc
620076,Motorola Solutions Inc,1,Google Inc
277461,Eastman Kodak Co,2,Google Inc
35687M,Freescale Semiconductor Inc,2,Google Inc
65390T,Nikko Co Ltd,2,Google Inc
345370,Ford Motor Co,2,Google Inc
12306V,Burton Snowboards,2,Google Inc
48670Q,Kazeon,1,Google Inc
J59399,NTT DOCOMO Inc,2,Google Inc
947684,Websense Inc,2,Google Inc
64121A,Network Engines Inc,2,Google Inc
92857W,Vodafone Group PLC,2,Google Inc
25205M,T-Mobile International AG & Co,2,Google Inc
23839Y,Data Reduction Systems Corp,2,Google Inc
268648,EMC Corp,2,Google Inc
053499,Avaya Inc,2,Google Inc
23311V,DCM Shriram Consolidated Ltd,2,Google Inc
87782X,Temtec International BV,2,Google Inc
013904,Alcatel Lucent SA,2,Google Inc
882508,Texas Instruments Inc,2,Google Inc
35062N,Founder Technology Group Corp,2,Google Inc
63562Y,NDRC,2,Google Inc
04394C,Ascent Media Group Ltd,2,Google Inc
44914M,Hyperion Solutions Corp,2,Google Inc
36062L,Global Exchange Services Inc,2,Google Inc
75775H,RedPrairie Corp,2,Google Inc
63621R,NGA,2,Google Inc
459200,IBM Corp,2,Google Inc
12429J,CDC Software Corp,2,Google Inc
752210,Rand McNally & Co,2,Google Inc
768573,Riverbed Technology Inc,2,Google Inc
65350P,Nexvue Information Systems Inc,2,Google Inc
04966W,Atos SA,2,Google Inc
04622E,Astea International Inc,2,Google Inc
98562V,XenSource Inc,2,Google Inc
656568,Nortel Networks Corp,2,Google Inc
984332,Yahoo! Inc,2,Google Inc
97651M,Wipro Ltd,2,Google Inc
87981Z,Tech Mahindra Ltd,2,Google Inc
58544A,MedStar Health Inc,2,Google Inc
