size,startDate,ego,id
1,11/27/00,Google Inc,38259P
2,11/27/00,Google Inc,38259P
3,12/01/00,Google Inc,38259P
4,12/01/00,Google Inc,38259P
5,12/01/00,Google Inc,38259P
6,12/01/00,Google Inc,38259P
7,12/05/00,Google Inc,38259P
8,12/05/00,Google Inc,38259P
9,12/05/00,Google Inc,38259P
10,12/05/00,Google Inc,38259P
11,12/05/00,Google Inc,38259P
12,12/05/00,Google Inc,38259P
13,12/06/00,Google Inc,38259P
14,12/20/00,Google Inc,38259P
15,12/20/00,Google Inc,38259P
16,01/11/01,Google Inc,38259P
17,01/11/01,Google Inc,38259P
18,01/11/01,Google Inc,38259P
19,01/11/01,Google Inc,38259P
20,01/18/01,Google Inc,38259P
21,01/18/01,Google Inc,38259P
22,02/02/01,Google Inc,38259P
23,02/02/01,Google Inc,38259P
24,02/02/01,Google Inc,38259P
25,02/02/01,Google Inc,38259P
26,02/02/01,Google Inc,38259P
27,02/19/01,Google Inc,38259P
28,02/19/01,Google Inc,38259P
29,02/26/01,Google Inc,38259P
30,03/01/01,Google Inc,38259P
31,03/08/01,Google Inc,38259P
32,03/08/01,Google Inc,38259P
33,03/14/01,Google Inc,38259P
34,04/02/01,Google Inc,38259P
35,04/20/01,Google Inc,38259P
36,04/20/01,Google Inc,38259P
37,04/30/01,Google Inc,38259P
38,05/15/01,Google Inc,38259P
39,05/15/01,Google Inc,38259P
40,05/24/01,Google Inc,38259P
41,06/29/01,Google Inc,38259P
42,06/29/01,Google Inc,38259P
43,07/09/01,Google Inc,38259P
44,08/21/01,Google Inc,38259P
45,08/21/01,Google Inc,38259P
46,08/22/01,Google Inc,38259P
47,08/22/01,Google Inc,38259P
48,08/23/01,Google Inc,38259P
49,09/10/01,Google Inc,38259P
50,09/19/01,Google Inc,38259P
51,09/26/01,Google Inc,38259P
52,09/26/01,Google Inc,38259P
53,10/16/01,Google Inc,38259P
54,10/17/01,Google Inc,38259P
55,10/19/01,Google Inc,38259P
56,11/14/01,Google Inc,38259P
57,11/26/01,Google Inc,38259P
58,11/27/01,Google Inc,38259P
59,11/27/01,Google Inc,38259P
60,11/28/01,Google Inc,38259P
61,11/28/01,Google Inc,38259P
62,11/28/01,Google Inc,38259P
63,01/10/02,Google Inc,38259P
64,01/16/02,Google Inc,38259P
65,01/16/02,Google Inc,38259P
66,01/16/02,Google Inc,38259P
67,01/16/02,Google Inc,38259P
68,01/16/02,Google Inc,38259P
69,01/16/02,Google Inc,38259P
70,01/16/02,Google Inc,38259P
71,01/16/02,Google Inc,38259P
72,01/16/02,Google Inc,38259P
73,01/16/02,Google Inc,38259P
74,03/04/02,Google Inc,38259P
75,03/14/02,Google Inc,38259P
76,03/14/02,Google Inc,38259P
77,03/19/02,Google Inc,38259P
78,03/19/02,Google Inc,38259P
79,03/19/02,Google Inc,38259P
80,03/19/02,Google Inc,38259P
81,04/17/02,Google Inc,38259P
82,04/18/02,Google Inc,38259P
83,05/03/02,Google Inc,38259P
84,05/03/02,Google Inc,38259P
85,05/03/02,Google Inc,38259P
86,05/14/02,Google Inc,38259P
87,05/15/02,Google Inc,38259P
88,05/21/02,Google Inc,38259P
89,06/25/02,Google Inc,38259P
90,07/11/02,Google Inc,38259P
91,07/11/02,Google Inc,38259P
